id, first_name, last_name, party
A000360,Lamar,Alexander, R
B001230,Tammy,Baldwin, D
B001261,John,Barrasso, R
B001267,Michael,Bennet, D
B001243,Marsha,Blackburn, R
B001277,Richard,Blumenthal, D
B000575,Roy,Blunt, R
B001288,Cory,Booker, D
B001236,John,Boozman, R
B001310,Mike,Braun, R
B000944,Sherrod,Brown, D
B001135,Richard,Burr, R
C000127,Maria,Cantwell, D
C001047,Shelley,Capito, R
C000141,Benjamin,Cardin, D
C000174,Thomas,Carper, D
C001070,Bob,Casey, D
C001075,Bill,Cassidy, R
C001035,Susan,Collins, R
C001088,Christopher,Coons, D
C001056,John,Cornyn, R
C001113,Catherine,Cortez Masto, D
C001095,Tom,Cotton, R
C001096,Kevin,Cramer, R
C000880,Michael,Crapo, R
C001098,Ted,Cruz, R
D000618,Steve,Daines, R
D000622,Tammy,Duckworth, D
D000563,Richard,Durbin, D
E000285,Michael,Enzi, R
E000295,Joni,Ernst, R
F000062,Dianne,Feinstein, D
F000463,Deb,Fischer, R
G000562,Cory,Gardner, R
G000555,Kirsten,Gillibrand, D
G000359,Lindsey,Graham, R
G000386,Charles,Grassley, R
H001075,Kamala,Harris, D
H001076,Margaret,Hassan, D
H001089,Joshua,Hawley, R
H001046,Martin,Heinrich, D
H001042,Mazie,Hirono, D
H001061,John,Hoeven, R
H001079,Cindy,Hyde-Smith, R
I000024,James,Inhofe, R
I000055,Johnny,Isakson, R
J000293,Ron,Johnson, R
J000300,Doug,Jones, D
K000384,Tim,Kaine, D
K000393,John,Kennedy, R
K000383,Angus,King, ID
K000367,Amy,Klobuchar, D
L000575,James,Lankford, R
L000174,Patrick,Leahy, D
L000577,Mike,Lee, R
L000594,Kelly,Loeffler, R
M001183,Joe,Manchin, D
M000133,Edward,Markey, D
M000355,Mitch,McConnell, R
M001197,Martha,McSally, R
M000639,Robert,Menendez, D
M001176,Jeff,Merkley, D
M000934,Jerry,Moran, R
M001153,Lisa,Murkowski, R
M001169,Christopher,Murphy, D
M001111,Patty,Murray, D
P000603,Rand,Paul, R
P000612,David,Perdue, R
P000595,Gary,Peters, D
P000449,Rob,Portman, R
R000122,Jack,Reed, D
R000584,Jim,Risch, R
R000307,Pat,Roberts, R
R000615,Mitt,Romney, R
R000608,Jacky,Rosen, D
R000605,Mike,Rounds, R
R000595,Marco,Rubio, R
S000033,Bernard,Sanders, ID
S001197,Ben,Sasse, R
S001194,Brian,Schatz, D
S000148,Charles,Schumer, D
S001217,Rick,Scott, R
S001184,Tim,Scott, R
S001181,Jeanne,Shaheen, D
S000320,Richard,Shelby, R
S001191,Kyrsten,Sinema, D
S001203,Tina,Smith, D
S000770,Debbie,Stabenow, D
S001198,Dan,Sullivan, R
T000464,Jon,Tester, D
T000250,John,Thune, R
T000476,Thom,Tillis, R
T000461,Patrick,Toomey, R
U000039,Tom,Udall, D
V000128,Chris,Van Hollen, D
W000805,Mark,Warner, D
W000817,Elizabeth,Warren, D
W000802,Sheldon,Whitehouse, D
W000437,Roger,Wicker, R
W000779,Ron,Wyden, D
Y000064,Todd,Young, R
